
a	 : 2
javaslatarakerult	 : 1
javaslatat	 : 4
javaslatat,	 : 3
javaslatat.	 : 2
javaslataval,	 : 1
javaslataval.	 : 1
javaslatok	 : 1
javaslatokat	 : 1
javaslatokat.	 : 3
javaslatokrol	 : 1
javaslatom	 : 1
javaslatot	 : 10
javaslatot,	 : 6
javaslatot,amely	 : 1
javaslatot.	 : 6
javaslatot.aggalyosnak	 : 1
javaslatra,	 : 1
javaslatrol	 : 1
javaslatrol.	 : 2
javaslattal	 : 1
javaslattol	 : 1
javaslatukat,	 : 1
javaslatukrol	 : 2
javaslatunk	 : 1
javasol	 : 1
javasol,	 : 1
javasolhatja	 : 1
javasolja	 : 5
javasolja,	 : 9
javasoljak,	 : 2
javasoljak:	 : 1
javasoljuk	 : 1
javasolni	 : 3
javasolt	 : 2
javasolt.	 : 1
javasolta,	 : 5
javasolta.	 : 2
javasolta:	 : 1
javasoltak	 : 3
javasoltak,amelyek	 : 1
javasoltak:	 : 1
javasoltam	 : 1
javasoltgyogymodokba	 : 1
javasolva,	 : 1
javat	 : 2
javat,	 : 1
javatszolgalhatja.	 : 1
javier	 : 10
javit	 : 1
javit's	 : 2
javitani	 : 3
javitasa	 : 6
javitasa"	 : 1
javitasa,	 : 1
javitasaert	 : 1
javitasara	 : 2
javitasat	 : 1
javitasra	 : 1
javithattuk	 : 1
javitja	 : 1
javitjak	 : 1
javitjak.	 : 1
javito	 : 2
javitodontesek.	 : 1
javitotta	 : 1
javits	 : 5
javul	 : 1
javul,	 : 2
javulas	 : 1
javulasarameg	 : 1
javulasi	 : 1
javulasra.	 : 1
javulhat	 : 1
javulni	 : 1
javulo	 : 1
javult	 : 5
javult,	 : 3
javult,hogy	 : 1
javult.	 : 2
javultak.	 : 1
javunkra	 : 1
jaw	 : 1
jay	 : 5
jaya	 : 3
jazz	 : 29
jazz'"	 : 1
jazz**	 : 4
jazz,	 : 10
jazz,blues	 : 2
jazz-rock	 : 2
jazzman	 : 1
jdenton@cigar.com	 : 1
jdm-j20c	 : 1
je,	 : 1
jean	 : 7
jean-jaques	 : 1
jean-paul	 : 1
jeane	 : 3
jeanne	 : 3
jeaux	 : 1
jeered	 : 1
jeff	 : 4
jefferson	 : 9
jefferson's	 : 1
jefferson**	 : 1
jefferson.	 : 2
jeffords,	 : 1
jeffrey	 : 2
jeffries	 : 1
jegelesere	 : 1
jegen	 : 1
jegeso.-	 : 1
jeggyel	 : 1
jegor	 : 1
jegy	 : 1
jegybank	 : 3
jegybank,	 : 1
jegybanktol	 : 1
jegyeben	 : 5
jegyeben,amelyet	 : 1
jegyeben.	 : 1
jegyebenbizonyos	 : 1
jegyein	 : 1
jegyeit.	 : 1
jegyek	 : 2
jegyeket	 : 4
jegyeknek,	 : 1
jegyet	 : 2
jegyet,	 : 1
jegyezte	 : 2
jegyeztek	 : 1
jegyeztem	 : 1
jegyeztettek	 : 1
jegyezzukmeg	 : 1
jegyzekenszereplo	 : 1
jegyzeket	 : 1
jegyzekre	 : 1
jegyzekunkre	 : 1
jegyzekvaltas	 : 1
jegyzett	 : 1
jegyzoje	 : 1
jegyzoje(magyar	 : 1
jegyzoje.a	 : 1
jegyzok	 : 1
jegyzokonyv	 : 1
jegyzokonyvek	 : 1
jegyzokonyvrol.	 : 1
jehovah's	 : 3
jehovahs	 : 1
jekyll	 : 1
jekyll**	 : 1
jel	 : 3
jelcin	 : 30
jelcin-talalkozo	 : 1
jelcin.	 : 1
jelcini	 : 2
jelcint.	 : 1
jele	 : 2
jele,	 : 1
jele.	 : 1
jelei	 : 2
jeleivel,	 : 1
jelek	 : 6
jelek,	 : 1
jelek.de	 : 1
jeleket	 : 1
jelen	 : 31
jelen,	 : 1
jelen.	 : 1
jelenbenpaskandi	 : 1
jelenevel	 : 1
jelenhetett	 : 1
jelenik	 : 9
jelenitett	 : 2
jelenkormany	 : 1
jelenkortorteneti	 : 1
jelenleg	 : 46
jelenleg,	 : 1
jelenlegaz	 : 1
jelenlegi	 : 87
jelenlegi,	 : 1
jelenlegi,ugynevezett	 : 1
jelenlegigazdasagpolitika	 : 1
jelenlegihelyzetben	 : 1
jelenlegihelyzetert	 : 1
jelenlegihez	 : 1
jelenlegikormanyfo	 : 1
jelenlegikormanykoalicioval	 : 1
jelenleginek	 : 1
jelenlegionkormanyzati	 : 1
jelenlegivel.	 : 1
jelenlet	 : 4
jelenlete	 : 1
jelenleteben	 : 4
jelenleteben.	 : 1
jelenletemet.hogy	 : 1
jelenletukkel	 : 1
jelenletukkel,	 : 1
jelenletukre	 : 2
jelenlevo	 : 1
jelenlevok	 : 1
jelenlevokepviseloje	 : 1
jelenne	 : 2
jelennek	 : 4
jelenrol	 : 1
jelenseg:	 : 1
jelensege	 : 1
jelensegegyuttes	 : 1
jelensegegyuttest	 : 1
jelensegeivel	 : 1
jelensegek,	 : 1
jelensegre,	 : 1
jelensulyos	 : 1
jelent	 : 46
jelent,	 : 3
jelent,hogy	 : 1
jelent-e	 : 1
jelent.	 : 6
jelent:	 : 1
jelentaz	 : 1
jelentek	 : 1
jelentekenynek	 : 1
jelentektelen	 : 4
jelentene	 : 3
jelentene"	 : 1
jelentene,	 : 2
jelentenek	 : 1
jelentenek,	 : 4
jelentenek.	 : 1
jelentenem,	 : 1
jelenteni,	 : 1
jelenteniuk,	 : 1
jelentes	 : 8
jelentesben	 : 1
jelentese	 : 8
jelentese,	 : 3
jelentese.	 : 1
jelenteseben	 : 1
jelenteseben.	 : 1
jelentesebol.	 : 1
jelentesek	 : 2
jelentesekbol	 : 1
jelenteseket	 : 1
jelenteseket.	 : 1
jelenteserehivatkozva	 : 1
jelenteset	 : 2
jelenteset,	 : 1
jelentest	 : 2
jelentestervezet	 : 1
jelentesuketmutattak	 : 1
jelentetettmeg.	 : 1
jelentett	 : 5
jelentett"]	 : 1
jelentett.	 : 1
jelentette	 : 60
jelentette:	 : 1
jelentettebe	 : 1
jelentettek	 : 4
jelentettek.a	 : 1
jelentettek.kossuth	 : 1
jelentetteki	 : 2
jelentettemeg	 : 1
jelenthet	 : 2
jelenthet,	 : 1
jelenthet.	 : 1
jelenthetne,	 : 1
jelenti	 : 17
jelenti!]	 : 1
jelenti)	 : 1
jelenti,	 : 17
jelenti,hiszen	 : 1
jelenti.	 : 4
jelenti:	 : 1
jelentiazt,	 : 1
jelentik	 : 4
jelentik,	 : 1
jelentkezes	 : 1
jelentkezeset,	 : 1
jelentkezeset.papocsi	 : 1
jelentkezesi	 : 1
jelentkezett	 : 3
jelentkezett,	 : 1
jelentkezik,	 : 1
jelentkezik.	 : 2
jelentkezniuk	 : 1
jelentkezo	 : 6
jelentkezo(ke)t	 : 1
jelentkezo.	 : 1
jelentkezok	 : 2
jelentkezokkel	 : 1
jelentkezoknek,	 : 1
jelentkeztek	 : 1
jelentmagyarnak	 : 1
jelento	 : 4
jelentos	 : 33
jelentos,	 : 1
jelentosebb	 : 1
jelentosege	 : 2
jelentosege,	 : 1
jelentosege.	 : 1
jelentosegeben	 : 1
jelentosegehez	 : 1
jelentoseget	 : 1
jelentoseget.	 : 1
jelentosegu	 : 2
jelentosegu,	 : 1
jelentosegu.	 : 1
jelentosegunek	 : 1
jelentosellenorzo-koordinalo	 : 1
jelentosen	 : 11
jelentosen,	 : 1
jelentosenvisszaesett	 : 1
jelentosmertekben	 : 1
jelentosresze	 : 1
jelentosreszenel	 : 1
jelentosvagyonokat	 : 1
jelentse,	 : 1
jelentsen,	 : 1
jelenunk	 : 1
jeles	 : 3
jelesebb	 : 1
jelet	 : 3
jeletkezett	 : 1
jelez,	 : 1
jelezni	 : 1
jelezte	 : 3
jelezte!]	 : 1
jelezte,	 : 6
jelezte:	 : 10
jeleztek,	 : 3
jeleztuk	 : 1
jeleztuk,	 : 4
jeleztunk,	 : 1
jelfimov	 : 1
jeligejealatt	 : 1
jelkent	 : 1
jelkepei	 : 1
jelkepeink	 : 1
jelkepeitol.	 : 1
jelkepeitol?d:	 : 1
jelkepes	 : 4
jelkepesen,	 : 1
jelkepi,	 : 1
jelleg	 : 1
jellege,	 : 2
jellegebol	 : 1
jelleget	 : 3
jelleget,	 : 1
jelleggel	 : 2
jelleggel"	 : 1
jelleggel,	 : 1
jellegu	 : 17
jellegu,	 : 1
jellegu.	 : 2
jellegucselekmenyeket,	 : 1
jellegulopasok	 : 1
jellegunek	 : 1
jellegzetes	 : 1
jellegzetes.de	 : 1
jellegzetessege,	 : 1
jellem	 : 1
jellemes	 : 1
jellemes,	 : 1
jellemezheto	 : 1
jellemezni.	 : 1
jellemezni:	 : 1
jellemezte".	 : 1
jellemezte,	 : 1
jellemu,	 : 1
jellemuket.	 : 1
jellemzett	 : 2
jellemzett."	 : 2
jellemzi	 : 1
jellemzi",	 : 1
jellemzi,	 : 2
jellemzi.	 : 2
jellemzo	 : 11
jellemzo,	 : 2
jellemzo.	 : 2
jellemzo.egyesek	 : 1
jellemzoik	 : 1
jellemzoje.	 : 1
jellemzojuk:	 : 1
jellemzomodon	 : 1
jelmez,	 : 2
jelmezek	 : 1
jelmondatot?	 : 1
jelol,	 : 2
jelolese	 : 1
jeloli	 : 1
jelolje	 : 1
jelolt	 : 4
jelolt,	 : 2
jelolte	 : 6
jeloltek	 : 9
jelolteket	 : 1
jeloltekkent	 : 1
jelolteknek	 : 1
jeloltet	 : 1
jeloltet,	 : 1
jelolteti	 : 1
jeloltje,	 : 3
jeloltjeit	 : 1
jeloltjekent	 : 1
jeloltjereadtak	 : 1
jeloltkent	 : 1
jelre	 : 1
jelszava:"valamennyien	 : 1
jelszavakkal	 : 1
jelszavat	 : 1
jelszavaval	 : 1
jelszo	 : 2
jelszo:	 : 1
jelszodiszelgett.	 : 1
jelzaloggal	 : 1
jelzes	 : 1
jelzesarra,	 : 1
jelzeseket,	 : 2
jelzessel	 : 2
jelzett	 : 5
jelzett.	 : 1
jelzi	 : 2
jelzi,	 : 7
jelzi:	 : 2
jelzik	 : 1
jelzo	 : 3
jelzoberendezeseit,	 : 1
jelzokerult,	 : 1
jelzore	 : 1
jelzoszamot	 : 1
jelzot	 : 1
jelzot,	 : 1
jenkins	 : 12
jenne,	 : 1
jenner	 : 2
jennifer	 : 3
jenny	 : 1
jeno	 : 8
jeno(uj	 : 1
jeno,	 : 2
jenoorszaggyulesi	 : 1
jenrette	 : 5
jeong-woo	 : 1
jeopardize	 : 1
jeopardized	 : 2
jeopardy	 : 1
jeopardy.	 : 1
jerel	 : 1
jerling,world	 : 1
jerold	 : 1
jerry	 : 1
jers-1	 : 1
jers-1),	 : 1
jerse.	 : 1
jersey	 : 24
jersey's	 : 2
jersey**	 : 7
jersey,	 : 1
jersey,the	 : 1
jersey.	 : 3
jersey_**	 : 30
jerusalem	 : 3
jeruzsalem	 : 1
jeruzsalemetol	 : 1
jeruzsalemi	 : 1
jerzy	 : 2
jesse	 : 4
jessica	 : 1
jesus	 : 2
jesus**	 : 1
jesus,	 : 1
jeszenszky	 : 5
jeszenszkygeza	 : 1
jeszenszkyt	 : 1
jet	 : 26
jet**	 : 1
jet,	 : 1
jets	 : 1
jets,	 : 1
jetstream	 : 6
jetstream,	 : 1
jetstream.	 : 1
jevgenyij	 : 2
jew's	 : 4
jew**	 : 1
jew.	 : 1
jewel	 : 2
jewelery,	 : 1
jewish	 : 43
jewish,	 : 1
jewry.	 : 1
jews	 : 17
jews**	 : 1
jews,	 : 1
jews,"	 : 1
jews,the	 : 1
jews.	 : 2
jewsthat	 : 1
jezus	 : 2
jezus,de	 : 1
jezuskrisztust	 : 1
jezusmegvalto	 : 1
jezust.	 : 1
jf	 : 2
jf:	 : 1
jfk	 : 1
jfloew@dialup.francenet.fr	 : 1
jfloewen@dialup.francenet.fr	 : 1
jfloewen@dialup.francenet.fr[smtp:jfloewen@dialup.francenet.fr]	 : 1
jhs	 : 2
jia,	 : 1
jilk	 : 1
jim	 : 15
jim**	 : 1
jim.	 : 2
jimmy	 : 6
jinadasa	 : 1
jing	 : 1
jiri	 : 9
jiripehehungary	 : 1
jit	 : 2
jm	 : 3
jm.edu.uwimona	 : 3
jo	 : 106
jo!	 : 1
jo!]	 : 4
jo,	 : 16
jo,ujgazdag	 : 1
jo.	 : 3
jo.sajnos	 : 1
jo;	 : 1
jo]	 : 1
joakarattaltevedni	 : 1
joan	 : 2
joan"	 : 1
joan,	 : 2
job	 : 58
job**	 : 1
job,	 : 3
job-hunting	 : 1
job.	 : 2
job;	 : 1
job?	 : 1
jobaratjuk	 : 1
jobb	 : 30
jobb,	 : 5
jobb-	 : 2
jobbagyi	 : 1
jobbagysors,	 : 1
jobbak	 : 2
jobban	 : 21
jobban,	 : 2
jobban?oldalakon	 : 1
jobbanfogja	 : 1
jobbanfogjak	 : 1
jobbanosszekapcsolhat	 : 1
jobbara	 : 4
jobbatmeg	 : 1
jobbitasara,	 : 1
jobbjat	 : 1
jobbkiadasban	 : 1
jobbkozep	 : 5
jobbkozep,vagyis	 : 1
jobbkozepalternativa,	 : 1
jobbkozepegyuttmukodes	 : 1
jobbkozepek	 : 1
jobbkozeppartoknak	 : 1
jobbkozeppolitikai	 : 1
jobbkozepszetaprozottsaga	 : 1
jobbkozepuj	 : 1
jobblenne,	 : 1
jobbmeggyozodesuk	 : 1
jobbnak	 : 1
jobboldal	 : 5
jobboldal,	 : 2
jobboldal.	 : 1
jobboldaldemagogiajara	 : 1
jobboldali	 : 13
jobboldalipartokban	 : 1
jobboldalisagomat	 : 1
jobboldalon	 : 2
jobboldalon?	 : 1
jobboldalosszefogasaert:	 : 1
jobboldalra	 : 1
jobboldalrol.	 : 1
jobboldalt.harmadszor,	 : 1
jobbraattolt	 : 1
jobbrol	 : 2
jobbszelre	 : 1
jobbszelrol	 : 1
jobless	 : 2
joblessness,inflationary	 : 1
jobo	 : 1
jobs	 : 7
jobs,	 : 5
jobs.	 : 1
jockey	 : 1
jockey,	 : 1
jocskan	 : 1
joe	 : 3
joel	 : 4
jofiusagnal.az	 : 1
jog	 : 10
jog,	 : 1
joga	 : 11
jogai	 : 1
jogai,	 : 1
jogaiert.	 : 1
jogaik	 : 1
jogaiktol	 : 1
jogainak	 : 10
jogainkat	 : 1
jogaira	 : 1
jogairol	 : 2
jogait	 : 8
jogait,	 : 1
jogait.	 : 1
jogaival	 : 1
jogalkotasi	 : 5
jogalkotasrol	 : 1
jogallam	 : 6
jogallam,	 : 1
jogallami	 : 1
jogallamisag	 : 1
jogallamisaggyozelmekent	 : 1
jogallamnem	 : 1
jogallamok	 : 1
jogallamok-nal	 : 1
jogallamokban	 : 1
jogallasarol	 : 4
jogallasu	 : 1
jogallasukkal"	 : 1
jogan.][az	 : 1
joganak	 : 3
jogasz	 : 1
jogat	 : 4
jogat,	 : 3
jogat.	 : 1
jogbizonytalansag,	 : 1
jogbiztonsag	 : 1
jogdijak,	 : 1
jogellenes,	 : 1
jogellenesen	 : 1
jogellenesnek	 : 1
jogelodjenek	 : 1
jogeros	 : 2
jogerosen	 : 1
jogerosenelmarasztalna,	 : 1
jogervenyesnyilatkozatot,	 : 1
jogfelfogasbol	 : 1
jogfolytonossa	 : 1
jogfosztassal	 : 1
jogfosztott	 : 2
joggal	 : 8
joggal,	 : 1
jogi	 : 22
jogi,	 : 3
jogies	 : 1
jogilag	 : 6
jogkentfogalmazza	 : 1
jogkerulok	 : 1
jogkore,	 : 1
jogkoret.	 : 1
jogkorokkel	 : 1
jogkoruk!	 : 1
jogkovetkezmenye,	 : 1
jogok	 : 19
jogok,	 : 1
jogok.	 : 1
jogokat	 : 2
jogokat"	 : 1
jogokat,	 : 2
jogokkal	 : 2
jogokra	 : 2
jogokrol	 : 1
jogon	 : 1
jogon,	 : 1
jogon?	 : 1
jogos	 : 10
jogos!]	 : 1
jogosan	 : 1
jogosit	 : 1
jogositvanyaiban	 : 2
jogositvanyait	 : 1
jogositvanyokat,	 : 1
jogositvanyokkal.	 : 1
jogosnak	 : 1
jogosnak,ezert	 : 1
jogossagat	 : 1
jogossagat,es	 : 1
jogosult	 : 1
jogosult,	 : 1
jogosult.	 : 1
jogosultak	 : 2
jogosultak.	 : 1
jogosultkuratoriumnak.	 : 1
jogosultsaga,	 : 1
jogot	 : 11
jogot,	 : 3
jogot.	 : 1
jogot...	 : 1
jogotkapjon	 : 1
jogra	 : 1
jogrenddel	 : 2
jogrendet,	 : 1
jogrendszer	 : 1
jogrendszereik	 : 1
jogsegelyben	 : 1
jogsertesekrol.	 : 1
jogszabaly	 : 4
jogszabaly,	 : 1
jogszabalyai	 : 1
jogszabalyaik	 : 1
jogszabalyaikkal	 : 2
jogszabalyaival.	 : 1
jogszabalyban	 : 1
jogszabalyi	 : 1
jogszabalyok	 : 3
jogszabalyokat	 : 1
jogszabalyokat,	 : 1
jogszabalyokkal,	 : 1
jogszabalyokon,	 : 1
jogszabalyokpontatlansaga	 : 1
jogszabalyokra	 : 1
jogszabalyon	 : 1
jogszabalyt,	 : 1
jogszeru,	 : 1
jogszeruen	 : 1
jogszeruenhasznaljak-e	 : 1
jogszerusegevel	 : 1
jogtalan	 : 1
jogtalan,	 : 1
jogtalanna	 : 1
jogtalanul	 : 3
jogtiprokat]az	 : 1
jogtiszta.=csuf	 : 1
jogu	 : 4
joguk	 : 6
jogunk	 : 2
jogunkat,	 : 1
jogunkkal	 : 1
jogutod	 : 1
jogvesztetten,	 : 1
jogviszony	 : 1
jogviszonya	 : 1
jogviszonyuk	 : 1
jogvita	 : 2
johann	 : 1
johannes	 : 1
johannesburg,	 : 2
johet	 : 8
johettek!]moszkva	 : 1
johettek]jevgenyij	 : 1
johiszemuseget,	 : 1
john	 : 105
john**	 : 3
john.	 : 1
johnny	 : 1
johns	 : 2
johns,	 : 1
johnson	 : 29
johnson's	 : 3
johnson's**	 : 1
johnson**	 : 6
johnson|	 : 1
johnston	 : 14
johnston**	 : 1
johnston.	 : 1
johnstone.	 : 1
johny	 : 1
joideje	 : 3
join	 : 42
joindulatbol	 : 1
joindulatu	 : 1
joindulatu.	 : 1
joindulatuak	 : 1
joined	 : 9
joinhl,	 : 1
joining	 : 12
joins	 : 2
joint	 : 65
joint-venture	 : 1
jointhe	 : 1
jointly	 : 3
joints	 : 3
joints**	 : 1
joints.	 : 1
joints:	 : 1
joisten	 : 1
jojjon	 : 5
jok	 : 1
joke,	 : 1
jokepu	 : 1
jokivansagodat	 : 1
jol	 : 68
jol,	 : 2
jolenne	 : 1
joleti	 : 5
jolhasznositjak.	 : 1
jollathatjuk,	 : 1
jollehet	 : 1
jollehet,	 : 2
jolvalasztott,	 : 1
jominosegu	 : 1
jomkippur	 : 1
jomodban,	 : 1
jon	 : 27
jon".	 : 1
jon.	 : 1
jon:	 : 1
jonak	 : 1
jonapot,	 : 1
jonas	 : 1
jonathan	 : 5
jone	 : 1
jonehany,	 : 1
jonekik,	 : 1
jones	 : 59
jones'	 : 1
jones',	 : 1
jones)--shares	 : 1
jones**	 : 5
jones,	 : 1
jones.	 : 1
jones|	 : 1
jonne	 : 1
jonnek	 : 3
jonnek,	 : 1
jonnek]	 : 1
jonnenek,	 : 2
jonni.	 : 2
jonnom,	 : 1
jontz	 : 1
jora	 : 1
jora?	 : 1
jordan	 : 7
jordan.	 : 2
jordna	 : 1
jorendotanulok	 : 1
joresze	 : 1
joreszt	 : 7
jorge	 : 4
jorge,	 : 3
jorge.	 : 3
josagos	 : 1
jose	 : 9
josef	 : 1
josemercury	 : 2
joseph	 : 27
joseph,	 : 1
josephine	 : 1
josephs,	 : 1
josh	 : 1
joshua	 : 1
joskonyvebol	 : 1
joskovitz,	 : 2
joslas",	 : 1
josol	 : 2
josolt	 : 2
josolta	 : 1
jossz-e?	 : 2
jostrategia,	 : 1
joszabo	 : 1
joszag	 : 1
joszaggal.	 : 1
joszagok	 : 1
joszandeku	 : 1
joszandeku,	 : 1
joszerivel	 : 1
josziven,hanem	 : 1
joszivvel	 : 1
joszomszedi	 : 2
joszomszedsag,	 : 1
joszomszedsagi	 : 1
joszomszedsagrol	 : 1
jot	 : 5
jotekony	 : 2
jotevoinkkel	 : 1
jotevoje	 : 1
jotollu	 : 1
jott	 : 26
jott"	 : 1
jott).megis:	 : 1
jott,	 : 4
jott.	 : 1
jottek	 : 6
jottek,	 : 1
jottekide,	 : 1
jottem	 : 1
jotting	 : 1
jottment	 : 1
jottmentzsarolot,	 : 1
jottok,	 : 2
joule	 : 2
joulwan	 : 1
joulwan,	 : 1
journal	 : 19
journal,	 : 1
journalism	 : 10
journalism**	 : 1
journalism,	 : 3
journalism.	 : 1
journalism:	 : 1
journalist	 : 21
journalist's	 : 2
journalist,	 : 1
journalist.	 : 1
journalistic	 : 2
journalists	 : 120
journalists'	 : 3
journalists,	 : 10
journalists--**	 : 1
journalists.	 : 15
journalists:	 : 1
journalists:**	 : 1
journalists;	 : 1
journalistscovered	 : 1
journalists	 : 1
journals	 : 4
journals**	 : 2
journals,	 : 6
journalsits.	 : 1
journey	 : 15
journey,	 : 1
journey.	 : 2
journey."	 : 1
journeyed	 : 1
jova	 : 4
jova.	 : 1
jovahagyas	 : 1
jovahagyasa	 : 1
jovahagyasara	 : 2
jovahagyasat	 : 1
jovahagyja	 : 1
jovahagyni	 : 1
jovahagynia	 : 1
jovahagyott	 : 3
jovahagyta	 : 4
jovahagyta,	 : 1
jovahagytaazt,	 : 1
joval	 : 17
jovalmagasabb	 : 1
jovategyek.	 : 1
jovatehetetlenul	 : 2
jovatehetohibat,	 : 1
jovatetel,	 : 1
jovatetele	 : 1
jovatetelihatosagoknal.	 : 1
jovatetelt!	 : 1
jovateteltfizettettek	 : 1
jovedeki	 : 1
jovedelamadojanak	 : 1
jovedelem	 : 3
jovedelem,	 : 2
jovedelemado	 : 2
jovedelemado-bevetelkent	 : 1
jovedelemado-elolegek	 : 1
jovedelemado-torvennyelkapcsolatban	 : 1
jovedelemadoja	 : 1
jovedelemadojarol	 : 1
jovedelemben	 : 1
jovedelemdot?hujber	 : 1
jovedelemegyenlotlenseg	 : 1
jovedelemelosztasba-ujraelosztasba,	 : 1
jovedelemhatarhoz	 : 1
jovedelemkent	 : 1
jovedelemkulonbsegeket.	 : 1
jovedelemmel	 : 1
jovedelemre	 : 1
jovedelemrol	 : 1
jovedelemtobbletet	 : 1
jovedelemtol	 : 1
jovedelme	 : 2
jovedelmek	 : 2
jovedelmekbol	 : 1
jovedelmet	 : 1
jovedelmi	 : 1
jovedelmuket	 : 2
jovedelmunkbol	 : 3
jovelematcsoportositast.	 : 1
jovendo	 : 2
jovendoltek	 : 1
jovendoltek,	 : 1
jovialis	 : 1
jovo	 : 55
jovo.	 : 1
jovobe	 : 1
jovobe]peto	 : 1
jovoben	 : 29
jovobenaz	 : 1
jovobeni	 : 2
jovobenifelemelkedese	 : 1
jovoev	 : 1
jovohetfotol	 : 1
jovoje	 : 2
jovojeben	 : 1
jovojere	 : 2
jovojet	 : 3
jovojet,	 : 2
jovokep	 : 1
jovokep.	 : 2
jovokepe.	 : 1
jovokutatasi	 : 1
jovoltabol	 : 2
jovoltabol,	 : 1
jovore	 : 22
jovore,	 : 1
jovoreazonban	 : 1
jovorevonatkozo	 : 1
jovorol	 : 1
jovorol.	 : 1
jovot	 : 3
jovot.	 : 2
jovot.ehhez	 : 1
jovotkockaztato	 : 1
joy	 : 3
joyce	 : 8
joyce's	 : 6
joyce**	 : 1
joyce,	 : 2
joyce.	 : 3
joyce:	 : 1
joycian	 : 1
joyful	 : 2
jozan	 : 4
jozef	 : 8
jozsef	 : 88
jozsef,	 : 25
jozsef.	 : 1
jozsefaltal	 : 1
jozsefattila	 : 1
jozsefben	 : 1
jozsefelhatarozta,	 : 1
jozsefet	 : 4
jozsefet".	 : 1
jozsefet,	 : 5
jozseffel,	 : 1
jozsefkepviselotarsunk	 : 1
jozsefne,	 : 1
jozsefnek	 : 2
jozsefnek,	 : 1
jozsefre	 : 1
jozsefre,	 : 1
jozsefrol	 : 1
jozsefrol,	 : 1
jozseftegnapi	 : 1
jozseftol	 : 1
jozsefunnepi	 : 1
jozsene	 : 1
jp	 : 5
jp.ac.aichi-med-u	 : 1
jp.ac.canacad	 : 4
jp.ac.chiba-u.ll	 : 1
jp.ac.chiba-u.te	 : 1
jp.ac.chiba-u.te.hike	 : 1
jp.ac.chiba-u.tm	 : 2
jp.ac.chubu.isc	 : 1
jp.ac.cuc.cc	 : 1
jp.ac.dendai.ccs	 : 1
jp.ac.doshisha	 : 3
jp.ac.ehime-u.agr	 : 1
jp.ac.ehime-u.ed	 : 1
jp.ac.fukui-u.f-edu	 : 1
jp.ac.fukuoka-u.l	 : 1
jp.ac.fukushima-u.ipc	 : 1
jp.ac.gakushuin	 : 1
jp.ac.gifu-u.ge	 : 1
jp.ac.glocom	 : 2
jp.ac.gunma-u.tech	 : 2
jp.ac.hama-med	 : 1
jp.ac.hiroshima-u.ipc	 : 1
jp.ac.hokudai.agr	 : 2
jp.ac.hokudai.bio	 : 1
jp.ac.hokudai.chem	 : 1
jp.ac.hokudai.epms	 : 1
jp.ac.hokudai.hipecs	 : 1
jp.ac.hokudai.huie	 : 1
jp.ac.hokudai.huph	 : 2
jp.ac.hokudai.math.galois	 : 1
jp.ac.hokudai.med	 : 1
jp.ac.hokudai.organ	 : 1
jp.ac.hosei.fujimi	 : 1
jp.ac.ibaraki.cis	 : 1
jp.ac.iuj	 : 1
jp.ac.iwate-u.cis	 : 1
jp.ac.jaist	 : 1
jp.ac.kanagawa-u.b6	 : 1
jp.ac.kanazawa-u.ipc	 : 2
jp.ac.kanazawa-u.t.ch	 : 2
jp.ac.keio.cc	 : 2
jp.ac.keio.chem.iw	 : 1
jp.ac.keio.mita.flet.slis	 : 1
jp.ac.keio.sfc	 : 1
jp.ac.kindai.fuk.chem	 : 1
jp.ac.kindai.libe	 : 1
jp.ac.kitami-it.onion	 : 1
jp.ac.kms	 : 1
jp.ac.kochi-ct.cc	 : 1
jp.ac.koka	 : 1
jp.ac.kumamoto-u.eecs	 : 2
jp.ac.kumamoto-u.medic	 : 1
jp.ac.kwansei	 : 1
jp.ac.kyoto-su	 : 2
jp.ac.kyoto-u.env	 : 1
jp.ac.kyoto-u.imel	 : 1
jp.ac.kyoto-u.kais	 : 2
jp.ac.kyoto-u.kudpc	 : 1
jp.ac.kyoto-u.kuec	 : 1
jp.ac.kyoto-u.kuhp	 : 1
jp.ac.kyoto-u.kuis	 : 1
jp.ac.kyushu-id	 : 1
jp.ac.kyushu-u.med	 : 1
jp.ac.kyushu-u.zaiko	 : 1
jp.ac.meijo-u	 : 3
jp.ac.miyazaki-med	 : 1
jp.ac.muroran-it.elec	 : 1
jp.ac.musashi.cc	 : 1
jp.ac.n-fukushi	 : 1
jp.ac.nagaokaut	 : 1
jp.ac.nagoya-u.ecip.eds	 : 2
jp.ac.nagoya-u.human.info	 : 5
jp.ac.nagoya-u.ihas.ihas	 : 1
jp.ac.nagoya-u.nuee.bioele	 : 1
jp.ac.nanzan-u.ic	 : 1
jp.ac.nda.cc	 : 1
jp.ac.ngu	 : 1
jp.ac.nig.lab	 : 1
jp.ac.nihon-u.cst.civil	 : 1
jp.ac.nihon-u.cst.eme	 : 1
jp.ac.nihon-u.cst.phys	 : 1
jp.ac.niigata-u.eng	 : 1
jp.ac.niigata-u.sc	 : 1
jp.ac.nitech.elcom	 : 1
jp.ac.nitech.mse	 : 1
jp.ac.oita-med	 : 1
jp.ac.okayama-u.achem	 : 1
jp.ac.okayama-u.biol	 : 1
jp.ac.osaka-u.center	 : 3
jp.ac.osaka-u.rcnp	 : 1
jp.ac.osakac	 : 1
jp.ac.osakafu-u.aero	 : 1
jp.ac.rikkyo.svn	 : 2
jp.ac.ritsumei	 : 2
jp.ac.sapmed.cc	 : 2
jp.ac.seinan-gu	 : 5
